Contrast,n,Da_peak_curve,DaR_peak_curve,HI_at_Da_peak,hitL_Da,hitR_Da,nBins_Da,hitL_DaR,hitR_DaR,nBins_DaR
1.2,557,0.00020930983608475926,0.0002511718033017113,0.07652636646274695,False,False,40,False,False,40
1.4,556,0.00017936509888023564,0.00025111113843232944,0.0793638031484995,False,False,40,False,False,40
1.7,557,0.00015460785972564093,0.0002628333615335897,0.08166031236555761,False,False,40,False,False,40
2.0,559,0.0002069529461042742,0.00041390589220854847,0.08445901490040825,False,False,40,False,False,40
2.4,564,0.00018567237210747995,0.00044561369305795134,0.08981036387804063,False,False,40,False,False,40
2.9,568,0.00016185394655835088,0.00046937644501921703,0.09339666255449817,False,False,40,False,False,40
3.5,570,0.00020170567683560218,0.0007059698689246076,0.09678356012427104,False,False,40,False,False,40
4.2,574,0.00018430953908034478,0.0007741000641374479,0.0984318435376085,False,False,40,False,False,40
5.1,575,0.0001518459651950496,0.0007744144224947527,0.101876242377635,False,False,40,False,False,40
6.2,575,0.00013126509161001104,0.0008138435679820692,0.10705801477408788,False,False,40,False,False,40
7.6,580,0.00011220098774411837,0.0008527275068553005,0.11123234546039817,False,False,40,False,False,40
9.2,582,9.88325741793646e-05,0.0009092596824501559,0.11432219197257493,False,False,40,False,False,40
11.2,582,8.491296349192743e-05,0.0009510251911095859,0.11704812667429658,False,False,40,False,False,40
13.6,581,7.181899123836878e-05,0.0009767382808418153,0.12294050879636957,False,False,40,False,False,40
16.5,580,5.917827982867651e-05,0.0009764416171731624,0.12911881528376734,False,False,40,False,False,40
20.1,572,3.8658415038872704e-05,0.0007770341422813417,0.13487383417373758,False,False,40,False,False,40
24.4,572,3.0447461687510527e-05,0.0007429180651752573,0.14023881351256634,False,False,40,False,False,40
29.7,568,2.860852742503286e-05,0.0008496732645234749,0.14641522059607537,False,False,40,False,False,40
36.1,569,2.2810717773325883e-05,0.0008234669116170657,0.15246060246120968,False,False,40,False,False,40
43.9,570,1.8498476528048234e-05,0.0008120831195813165,0.15689688946027455,False,False,40,False,False,40
53.3,569,1.594357694092367e-05,0.000849792650951233,0.15977894078900728,False,False,40,False,False,40
64.7,569,1.9726145360438422e-05,0.0012762816048203652,0.16213528378030734,False,False,40,False,False,40
78.6,566,4.0218199338489115e-05,0.003161150468005244,0.16869153126835884,False,False,40,False,False,40
95.4,564,3.686714520583015e-05,0.003517125652636197,0.17542448070424957,False,False,40,False,False,40
115.8,566,2.8042365838055674e-05,0.003247305964046843,0.1803062287322236,False,False,40,False,False,40
