Contrast,Da_reference,width_decades_f095_reference,half_band_decades_used,Da_band_lo,Da_band_hi,band_formula,min_band_decades,width_frac,buffer_decades,reference_csv
1.2,0.0002593983259987,0.8634122668039512,0.75,4.612827021220524e-05,0.0014587039839426717,"max(min_band, width_frac*width_decades_f095 + buffer)",0.75,0.5,0.15,hysteresis_outputs/run_20260312_121717/ridge.csv
1.4,0.0002039505570103,0.7931233219114775,0.75,3.626810761973859e-05,0.0011468982650248195,"max(min_band, width_frac*width_decades_f095 + buffer)",0.75,0.5,0.15,hysteresis_outputs/run_20260312_121717/ridge.csv
1.7,0.0001958258093103,0.8846737424919593,0.75,3.4823300465071486e-05,0.0011012094511402672,"max(min_band, width_frac*width_decades_f095 + buffer)",0.75,0.5,0.15,hysteresis_outputs/run_20260312_121717/ridge.csv
2.0,0.0001719494076685,0.8437064649943742,0.75,3.0577409122528236e-05,0.0009669425777399987,"max(min_band, width_frac*width_decades_f095 + buffer)",0.75,0.5,0.15,hysteresis_outputs/run_20260312_121717/ridge.csv
2.4,0.0001810201644274,0.6121091177307498,0.75,3.219044312031057e-05,0.0010179511915027902,"max(min_band, width_frac*width_decades_f095 + buffer)",0.75,0.5,0.15,hysteresis_outputs/run_20260312_121717/ridge.csv
2.9,0.0001774593309857,0.5157648367740357,0.75,3.1557227441115254e-05,0.0009979271535389134,"max(min_band, width_frac*width_decades_f095 + buffer)",0.75,0.5,0.15,hysteresis_outputs/run_20260312_121717/ridge.csv
3.5,0.000169109656372,0.4927265049088145,0.75,3.0072421996508507e-05,0.0009509734826671504,"max(min_band, width_frac*width_decades_f095 + buffer)",0.75,0.5,0.15,hysteresis_outputs/run_20260312_121717/ridge.csv
4.2,0.0001487797098004,0.6283592251117347,0.75,2.6457189456961744e-05,0.0008366497917059251,"max(min_band, width_frac*width_decades_f095 + buffer)",0.75,0.5,0.15,hysteresis_outputs/run_20260312_121717/ridge.csv
5.1,0.000145849527477,0.568905924615879,0.75,2.5936121167625518e-05,0.0008201721655980241,"max(min_band, width_frac*width_decades_f095 + buffer)",0.75,0.5,0.15,hysteresis_outputs/run_20260312_121717/ridge.csv
6.2,0.0001392676963493,0.4484312211605505,0.75,2.4765687690151302e-05,0.000783159809212725,"max(min_band, width_frac*width_decades_f095 + buffer)",0.75,0.5,0.15,hysteresis_outputs/run_20260312_121717/ridge.csv
