Contrast,n,Da_peak,Da_peak_lo,Da_peak_hi,Da_peak_primary_lowDa,Da_peak_primary_lowDa_lo,Da_peak_primary_lowDa_hi,Da_centroid_f095,Da_centroid_f095_lo,Da_centroid_f095_hi,dlog10Da_centroid_f095_minus_peak,DaR_peak,DaR_peak_lo,DaR_peak_hi,DaR_peak_primary_lowDa,DaR_peak_primary_lowDa_lo,DaR_peak_primary_lowDa_hi,DaR_centroid_f095,DaR_centroid_f095_lo,DaR_centroid_f095_hi,dlog10DaR_centroid_f095_minus_peak,log10Da_peak,log10DaR_peak,HI_peak_curve,bimodal_flag,multi_peak_flag,n_peaks,peak_sep_decades,secondary_ratio,Da_peak2,cross_bimodal,cross_ratio,cross_sep_decades,Da_low_lobe,HI_low_lobe,Da_high_lobe,HI_high_lobe,HI_peak_lo,HI_peak_hi,width_decades_f098,width_left_decades_f098,width_right_decades_f098,width_decades_f095,width_left_decades_f095,width_right_decades_f095,width_decades_f090,width_left_decades_f090,width_right_decades_f090,width_frac,width_interp,hitL_Da,hitR_Da,hitL_DaR,hitR_DaR,nBins_Da,nBins_DaR,n_boot,boot_kept_Da,boot_kept_DaR,boot_finite_Da,boot_finite_DaR,boot_hitL_Da_frac,boot_hitR_Da_frac,boot_hitL_DaR_frac,boot_hitR_DaR_frac
1.2,557,0.00020930983608475926,0.00012786801694491943,0.0005109011778509586,0.00021235883019507488,0.00012609585471985843,0.0005153962385636025,0.00026034101370974025,0.00014196225987456401,0.0004681830255612357,0.09475295396866557,0.0002511718033017113,0.0001534416203339034,0.0006130814134211495,0.00025483059623409004,0.00015131502566383004,0.0006184754862763228,0.00031240921645168853,0.00017035471184947675,0.000561819630673482,0.09475295396866557,-3.679210362406838,-3.600029116359213,0.07652636646274695,False,True,4,0.37233716495925684,0.9933306469449865,0.0005005039269155465,False,0.37048085543243214,1.724791474664279,0.00021235883019507488,0.07653445166088879,0.011268388168954705,0.028354549121378206,0.07439148689838268,0.08306871251507911,0.675628454672669,0.24083452247588077,0.4347939321967882,0.8958157314966968,0.33722292324717795,0.5585928082495188,1.113873065397212,0.45641663728337356,0.6574564281138384,0.98,True,False,False,False,False,40,40,250,245,245,250,250,0.02,0.0,0.02,0.0
1.4,556,0.00017936509888023564,0.00011339766971024223,0.00044362105175256274,0.0001867367601005293,0.00011378563221962828,0.000445017590900279,0.00020985436395344907,0.00013068895873788133,0.00038050600957533414,0.06818006357964057,0.00025111113843232944,0.00015875673759433885,0.0006210694724535881,0.0002614314641407411,0.00015929988510747964,0.0006230246272603908,0.0002937961095348291,0.00018296454223303373,0.000532708413405468,0.0681800635796419,-3.7462620587183544,-3.600134023040117,0.0793638031484995,True,True,3,1.3959177023668685,0.7899648723391559,7.504333341811532e-06,False,0.266727468690153,1.947771637215431,0.0001867367601005293,0.07937792751571761,0.016557755172358465,0.021172273676137804,0.0763058563258582,0.0860957069490644,0.6083092307336715,0.22605385816659807,0.3822553725670734,0.8407496245905475,0.31812435924611027,0.5226252653444372,1.0775090841630384,0.43129373207664656,0.6462153520863918,0.98,True,False,False,False,False,40,40,250,250,250,250,250,0.0,0.0,0.0,0.0
1.7,557,0.00015460785972564093,9.630492663690556e-05,0.0003696339548123942,0.00015483775433402836,9.650419799744796e-05,0.00037312015520943017,0.00019968451932569982,0.00010853012373994427,0.0003368495059523589,0.11111282904520259,0.0002628333615335897,0.00016371837528273935,0.0006283777231810698,0.0002632241823678483,0.00016405713659566157,0.0006343042638560309,0.00033946368285368947,0.00018450121035790533,0.0005726441601190104,0.11111282904520214,-3.810768431836128,-3.580319510457854,0.08166031236555761,False,True,4,0.3772871868844061,0.9977542536260499,0.0003691170028825244,False,0.28880979300030996,1.9510334974674712,0.00015483775433402836,0.0816609764894746,0.01383280839756055,0.023584489716128334,0.08036228769984605,0.0892408389924362,0.6998901082217879,0.24074707584901134,0.45914303237277654,0.9110958529031659,0.334037533603194,0.5770583192999719,1.1124423765271372,0.44415617013987685,0.6682862063872603,0.98,True,False,False,False,False,40,40,250,248,248,250,250,0.008,0.0,0.008,0.0
2.0,559,0.0002069529461042742,9.119296474083903e-05,0.00032342336524218755,0.00020755931079543717,9.004850140866527e-05,0.00032247551748520857,0.00017674674994976294,0.00011006185889542989,0.0002964099712950602,-0.06852017657436837,0.00041390589220854847,0.0001823859294816781,0.0006468467304843751,0.0004151186215908744,0.00018009700281733056,0.0006449510349704172,0.00035349349989952485,0.00022012371779086003,0.0005928199425901212,-0.0685201765743697,-3.684128386766375,-3.383098391102394,0.08445901490040825,True,True,3,1.3553009588363345,0.8015708543598313,9.158856637387562e-06,False,0.29970208370618834,3.623198525262268,0.00020755931079543717,0.08445953064205441,0.8716472116326729,0.025312697322270372,0.08217425954381644,0.09126629988493598,0.6514115587420424,0.4020045409820505,0.24940701775999186,0.8798879406632505,0.5028576784511505,0.3770302622121,1.1126216244192455,0.6280884462772156,0.4845331781420299,0.98,True,False,False,False,False,40,40,250,250,250,250,250,0.0,0.0,0.0,0.0
2.4,564,0.00018567237210747995,0.00011029548066663512,0.0003003579755927126,0.0001827463806993468,0.00011037491607065344,0.00030277394674440325,0.00018226949537089132,0.000122056818000167,0.00027938468060419473,-0.008033294697431526,0.00044561369305795134,0.0002647091535999245,0.00072085914142251,0.0004385913136784322,0.0002648997985695682,0.0007266574721865669,0.0004374467888901399,0.00029293636320040106,0.0006705232334500665,-0.008033294697430193,-3.7312527141057643,-3.351041472394159,0.08981036387804063,True,True,4,1.3568295253919258,0.7324152687461503,8.035617559183648e-06,False,0.28850324797297305,1.7415187427157262,0.0001827463806993468,0.08986036353391774,0.010077841581993145,0.025925006743567375,0.08650868962620682,0.09609799804703133,0.36206905887855223,0.16672203653306772,0.1953470223454845,0.6340795567220945,0.35488478535262313,0.27919477136947135,0.9393946411307348,0.5266666635998218,0.41272797753091295,0.98,True,False,False,False,False,40,40,250,250,250,250,250,0.0,0.0,0.0,0.0
2.9,568,0.00016185394655835088,0.00012940179032977248,0.00025624365313853834,0.00015614059286268785,0.00013166225190181625,0.00025737049540548474,0.00017840689591172308,0.00012786555571682234,0.0002414644955881671,0.042288343559908625,0.00046937644501921703,0.0003752651919563398,0.0007431065941017619,0.0004528077193017943,0.0003818205305152667,0.0007463744366759064,0.0005173799981439975,0.0003708101115787851,0.0007002470372056838,0.042288343559909514,-3.7908767065325364,-3.3284787086335808,0.09339666255449817,True,True,3,1.365464314180655,0.7292666464972402,6.730564799745319e-06,False,0.2616182371125056,4.170518423905238,0.00015614059286268785,0.09344033510212114,2.3122471240343505,0.02444569574461871,0.088537457984284,0.09983744914817967,0.3148706677289832,0.10528985317549422,0.20958081455348898,0.5269720670256173,0.23954338645451134,0.28742868057110593,0.8728515486037942,0.4615190043479567,0.41133254425583754,0.98,True,False,False,False,False,40,40,250,250,250,250,250,0.0,0.0,0.0,0.0
3.5,570,0.00020170567683560218,0.0001333814388753902,0.0002319910356751598,0.0002038386488432577,0.00013146422229372854,0.00023488339668906332,0.00016985828726545957,0.00012435803168250962,0.00021647696189441718,-0.07463138059253271,0.0007059698689246076,0.0004668350360638658,0.0008119686248630593,0.000713435270951402,0.0004601247780280494,0.0008220918884117216,0.0005945040054291079,0.0004352531108887846,0.0007576693666304594,-0.07463138059253316,-3.6952818787645136,-3.151213834414238,0.09678356012427104,False,True,2,4.160341457433581,0.25420209583094727,2.94868234404663,False,0.25420209583094727,4.160341457433581,0.0002038386488432577,0.0968136210488261,2.94868234404663,0.024610225375594708,0.09221118441674551,0.10214115137093065,0.2826690173541393,0.21361203863327605,0.06905697872086325,0.4987737274989632,0.33446318218721904,0.16431054531174416,0.8268058564210699,0.5498035230522622,0.27700233336880764,0.98,True,False,False,False,False,40,40,250,250,250,250,250,0.0,0.0,0.0,0.0
4.2,574,0.00018430953908034478,0.00010463391757494354,0.00020587476114711936,0.0001830904253281283,0.00010387198127643043,0.00020695998701967627,0.0001515205790500299,0.00010756208004584499,0.0001901127885457749,-0.08507619168265501,0.0007741000641374479,0.0004394624538147623,0.0008646739968179011,0.0007689797863781386,0.0004362623213610081,0.0008692319454826401,0.0006363864320101247,0.00045176073619254746,0.000798473711892256,-0.08507619168265546,-3.7344521869580927,-3.1112028965601923,0.0984318435376085,False,True,2,4.1476996187786535,0.2533939169646263,2.572558458162491,False,0.2533939169646263,4.1476996187786535,0.0001830904253281283,0.09849148567346555,2.572558458162491,0.02495714334246481,0.09490419669391599,0.10493051895797532,0.3449845784360197,0.24985108422451807,0.09513349421150163,0.6355337286170344,0.42260452556024575,0.21292920305678864,0.949047806294014,0.6288420681372324,0.32020573815678155,0.98,True,False,False,False,False,40,40,250,250,250,250,250,0.0,0.0,0.0,0.0
5.1,575,0.0001518459651950496,0.00010172586057366308,0.0001955685536572181,0.00015238930302937347,0.00010168329033269827,0.00019505519780373056,0.00014780491832924018,0.0001033972252092245,0.00018037452557860125,-0.011714370663847617,0.0007744144224947527,0.0005188018889256821,0.0009973996236518111,0.0007771854454498045,0.000518584780696761,0.0009947815087990256,0.0007538050834791239,0.0005273258485670449,0.0009199100804508642,-0.011714370663848062,-3.8185967435337043,-3.111026567435768,0.101876242377635,False,True,2,4.341874542187478,0.25147083715406704,3.348335943766343,False,0.25147083715406704,4.341874542187478,0.00015238930302937347,0.10189681957334988,3.348335943766343,0.02562407852144722,0.09825365291602436,0.11136829863052768,0.31442032615848836,0.1536002362127329,0.16082008994575547,0.577126197707889,0.3248387463954394,0.25228745131244956,0.9180481420588027,0.5602279037322315,0.35782023832657117,0.98,True,False,False,False,False,40,40,250,250,250,250,250,0.0,0.0,0.0,0.0
6.2,575,0.00013126509161001104,9.751837438083731e-05,0.00016967919691362684,0.00012928245982184514,9.550292453543165e-05,0.00017084112301403293,0.00014039833966441958,0.00010115061168159548,0.0001606865420350432,0.029212725912937998,0.0008138435679820692,0.0006046139211611913,0.0010520110208644853,0.0008015512508954407,0.0005921181321196768,0.0010592149626870054,0.0008704697059194006,0.0006271337924258913,0.0009962565606172699,0.02921272591293711,-3.881850754008356,-3.089459064510102,0.10705801477408788,False,True,2,4.340108419072881,0.25193336108708797,2.829098222125358,False,0.25193336108708797,4.340108419072881,0.00012928245982184514,0.10713988059942722,2.829098222125358,0.02699211022588299,0.10133179827544955,0.11496952483088418,0.26509220059863114,0.09222034428142134,0.1728718563172098,0.4593511631956888,0.21167125927629815,0.24767990391939065,0.7148370793837029,0.36555229538117917,0.3492847840025237,0.98,True,False,False,False,False,40,40,250,250,250,250,250,0.0,0.0,0.0,0.0
