Contrast,n_bins,sigma,log10Da_peak,dlog10Da_peak_vs_base,log10Da_centroid_f095,dlog10Da_centroid_f095_vs_base,HI_peak,hitL,hitR,nBins_valid
1.2,30,0.8,-3.836480911308816,-0.15727054890197767,-3.805999350915055,-0.22154194247688253,0.0814392890642488,False,False,30
1.4,30,0.8,-3.8839925930588937,-0.13773053434053928,-3.871621036225341,-0.19353904108662734,0.0831454255114591,False,False,30
1.7,30,0.8,-3.9682103422085566,-0.1574419103724285,-3.9565128824522637,-0.2568572796613382,0.08579220664995861,False,False,30
2.0,30,0.8,-4.038585236403501,-0.3544568496371254,-4.044308170178922,-0.29165960683817804,0.08788657599446838,False,False,30
2.4,30,0.8,-3.5808899005335246,0.15036281357223968,-3.5926840557721977,0.1466019530309981,0.09394666030140678,False,False,30
2.9,30,0.8,-3.6606446730395805,0.13023203349295587,-3.66540881174669,0.08317955122593768,0.10096890706759071,False,False,30
3.5,30,0.8,-3.7226342613479853,-0.027352382583471613,-3.7191335321278007,0.05077972722924562,0.10328080373370319,False,False,30
4.2,30,0.8,-3.7624436253585416,-0.02799143840044893,-3.782984036330303,0.036544342310444566,0.10085574544529897,False,False,30
5.1,30,0.8,-3.5931503222915406,0.22544642124216363,-3.754550917571716,0.07576019662583588,0.10444226354634754,False,False,30
6.2,30,0.8,-3.9095247410699443,-0.02767398706158808,-3.854660156588992,-0.0020221284935737494,0.10988648739368481,False,False,30
7.6,30,0.8,-3.978236246794989,-0.028232926976557327,-3.925920044679387,0.0017566505618318295,0.11274447275054994,False,False,30
9.2,30,0.8,-4.034821820959034,-0.029721928044417645,-4.023467967608312,-0.016052647189748193,0.11720117018426314,False,False,30
11.2,30,0.8,-4.10086614988543,-0.02984014805906554,-4.067673007328611,-0.015586064669095734,0.12252157319087628,False,False,30
13.6,30,0.8,-4.191865927089928,-0.04810522787042082,-4.154545237820584,0.0070152637507199245,0.12810942227746605,False,False,30
16.5,30,0.8,-4.256326799926045,-0.02848913703029332,-4.24853732790806,0.006563281317315095,0.1343828653456243,False,False,30
20.1,30,0.8,-4.264227425216825,0.14852853041868208,-4.349212641615348,0.062349777374630655,0.13697141784007366,False,False,30
24.4,30,0.8,-4.348252221680098,0.16819668565501722,-4.44092549762469,0.0588521255532104,0.1409997230440195,False,False,30
29.7,30,0.8,-4.629260792740638,-0.08575629655633321,-4.618979996406333,-0.03723777829775443,0.1556965361167935,False,False,30
36.1,30,0.8,-4.749048275429056,-0.10718722664565128,-4.71499973004229,-0.08312151433415949,0.1580171289703772,False,False,30
43.9,30,0.8,-4.837887869926153,-0.1050238327774764,-4.801415858001979,-0.09472431479706778,0.16256225376342354,False,False,30
53.3,30,0.8,-4.902677174561598,-0.10526293650465668,-4.869853576079081,-0.17313907464417255,0.16461802083481805,False,False,30
64.7,30,0.8,-4.986853987441224,-0.28189621652303387,-4.949043311986188,-0.3791961070217509,0.16504769930311441,False,False,30
78.6,30,0.8,-4.522114582444564,-0.12653720477530062,-4.386563927960998,0.10849558923742997,0.16947043288061886,False,False,30
95.4,30,0.8,-4.3473000464634755,0.08606044406591806,-4.4623419877203805,0.03787686221544817,0.1761090034495779,False,False,30
115.8,30,0.8,-4.450559764220184,0.10162558500625885,-4.576456801761548,0.04801573450684149,0.18131358031340783,False,False,30
1.2,30,1.2,-3.816942847441391,-0.1377324850345527,-3.6162377070193923,-0.03178029858121967,0.0776737227767469,False,False,30
1.4,30,1.2,-3.8839925930588937,-0.13773053434053928,-3.6672845005520522,0.010797494586661571,0.07946545141036716,False,False,30
1.7,30,1.2,-3.9486722762049054,-0.13790384436877723,-3.7270887520811424,-0.027433149290216896,0.08211236825949185,False,False,30
2.0,30,1.2,-4.019048724730883,-0.3349203379645078,-3.765604202772906,-0.012955639432162602,0.08423218752942976,False,False,30
2.4,30,1.2,-3.5808899005335246,0.15036281357223968,-3.7289110604881217,0.010374948315074128,0.0897085486594297,False,False,30
2.9,30,1.2,-3.6606446730395805,0.13023203349295587,-3.7072998003341056,0.04128856263852221,0.09586264712604115,False,False,30
3.5,30,1.2,-3.7226342613479853,-0.027352382583471613,-3.74464463227474,0.02526862708230615,0.0991613150456224,False,False,30
4.2,30,1.2,-3.7624436253585416,-0.02799143840044893,-3.825329351550045,-0.005800972909297375,0.09990417257814908,False,False,30
5.1,30,1.2,-3.8466684148712065,-0.028071671337502213,-3.8267180841599604,0.0035930300375914825,0.10252467702398574,False,False,30
6.2,30,1.2,-3.9095247410699443,-0.02767398706158808,-3.8672503869110875,-0.014612358815669246,0.10585857491269221,False,False,30
7.6,30,1.2,-3.978236246794989,-0.028232926976557327,-3.923167939800728,0.004508755440490564,0.10830568655261645,False,False,30
9.2,30,1.2,-4.034821820959034,-0.029721928044417645,-4.037712869713592,-0.030297549295028148,0.11245741128001262,False,False,30
11.2,30,1.2,-4.10086614988543,-0.02984014805906554,-4.043652602597507,0.008434340062008161,0.11656782499144595,False,False,30
13.6,30,1.2,-4.191865927089928,-0.04810522787042082,-4.148046965629596,0.013513535941708454,0.12236208706954409,False,False,30
16.5,30,1.2,-4.256326799926045,-0.02848913703029332,-4.263293421901348,-0.008192812675972938,0.12938930912841484,False,False,30
20.1,30,1.2,-4.264227425216825,0.14852853041868208,-4.376880637716239,0.03468178127373989,0.13389488209418704,False,False,30
24.4,30,1.2,-4.348252221680098,0.16819668565501722,-4.462649912220882,0.0371277109570185,0.13858087400946195,False,False,30
29.7,30,1.2,-4.629260792740638,-0.08575629655633321,-4.565827438276951,0.015914779831627257,0.14858221221748144,False,False,30
36.1,30,1.2,-4.729531611233221,-0.08767056244981664,-4.656015490852207,-0.024137275144076042,0.15191956722551994,False,False,30
43.9,30,1.2,-4.837887869926153,-0.1050238327774764,-4.723756250059709,-0.01706470685479733,0.1559961494884722,False,False,30
53.3,30,1.2,-4.902677174561598,-0.10526293650465668,-4.693784928322081,0.002929573112827377,0.15827782227918027,False,False,30
64.7,30,1.2,-4.225170604550934,0.47978716636725594,-4.530179064178182,0.03966814078625447,0.16194202426661036,False,False,30
78.6,30,1.2,-4.287483927389651,0.10809345027961204,-4.541818984622835,-0.0467594674244074,0.16706794398135957,False,False,30
95.4,30,1.2,-4.3473000464634755,0.08606044406591806,-4.50370161400796,-0.003482764072131772,0.1732776903057218,False,False,30
115.8,30,1.2,-4.6851528528474695,-0.1329675036210265,-4.617411976820669,0.007060559447720216,0.17710470037978113,False,False,30
1.2,30,1.6,-3.582486081032287,0.09672428137455125,-3.6017137046917638,-0.017256296253591152,0.07693432224278499,False,False,30
1.4,30,1.6,-3.649526481623292,0.0967355770950622,-3.6491235202978043,0.02895847484090952,0.0783949530518914,False,False,30
1.7,30,1.6,-3.714215484161091,0.09655294767503708,-3.710507565246445,-0.010851962455519448,0.08112477115049757,False,False,30
2.0,30,1.6,-3.7846105846594673,-0.1004821978930921,-3.758527938053309,-0.00587937471256561,0.08301594341757544,False,False,30
