Contrast,range_log10Da_peak,range_log10Da_centroid_f095
1.2,0.27405020755633913,0.2333650739058144
1.4,0.2798127069556622,0.24209263935463055
1.7,0.3800354468865099,0.29746038120405904
2.0,0.5683543477013933,0.5247480357142065
2.4,0.2923685898282784,0.18804541590852164
2.9,0.17690911500941287,0.1220085981646557
3.5,0.1883622758244301,0.09238682545360755
4.2,0.1964989213049697,0.1222723124625058
5.1,0.25351809257966584,0.14078270418021432
6.2,0.05826134751702794,0.0970277440664371
7.6,0.05839245325486786,0.10128699943162012
9.2,0.05766598625533481,0.13012351504499353
11.2,0.03815099972986413,0.0617657967199845
13.6,0.058690878605023755,0.05491437408938804
16.5,0.13837309148701316,0.05139152756795973
20.1,0.1681973187424397,0.08840689470436658
24.4,0.23614985620449236,0.1056103349714661
29.7,0.13756042218272846,0.10755734878508605
36.1,0.15510326783209294,0.09575975032703354
43.9,0.1564961739447961,0.1394811774427147
53.3,0.2823010483829327,0.23286593218399876
64.7,0.7616833828902898,0.41886424780800535
78.6,0.26552509077093056,0.2001476598810923
95.4,0.25414139518913004,0.15264259545959113
115.8,0.2541425126795591,0.11014987621619277
